kvp_kV,inherent_filtration_mmAl,added_filtration_mmCu,hvl_mmAl,h,field_side_length_cm,backscatter,mu_en_quotient
100,2.5,0.3,7.69,0.87,20,1.561,1.039
100,3.1,0.3,7.81,0.87,20,1.564,1.040
100,3.1,0.6,9.30,0.93,20,1.586,1.047
100,2.5,0.9,10.10,0.95,20,1.591,1.051
100,3.1,0.9,10.14,0.95,20,1.591,1.051
110,2.5,0,3.91,0.63,20,1.424,1.028
110,3.1,0,4.37,0.66,20,1.445,1.029
110,4.1,0,5.02,0.70,20,1.472,1.031
110,5.1,0,5.57,0.73,20,1.492,1.033
110,3.1,0.1,6.30,0.77,20,1.515,1.035
110,4.1,0.1,6.69,0.79,20,1.526,1.037
110,3.1,0.2,7.51,0.83,20,1.546,1.040
110,4.1,0.2,7.77,0.85,20,1.552,1.041
110,2.5,0.3,8.23,0.87,20,1.560,1.043
110,3.1,0.3,8.35,0.87,20,1.562,1.043
110,3.1,0.6,9.85,0.93,20,1.578,1.051
110,2.5,0.9,10.67,0.95,20,1.578,1.055
110,3.1,0.9,10.70,0.95,20,1.578,1.056
120,2.5,0,4.31,0.63,20,1.436,1.031
120,3.1,0,4.79,3.29,20,1.455,1.032
120,4.1,0,5.47,0.70,20,1.480,1.034
120,5.1,0,6.04,0.74,20,1.498,1.036
120,3.1,0.1,6.78,4.47,20,1.519,1.039
120,4.1,0.1,7.18,0.80,20,1.528,1.040
120,3.1,0.2,8.01,5.18,20,1.545,1.043
120,4.1,0.2,8.27,0.85,20,1.550,1.044
120,2.5,0.3,8.73,0.87,20,1.557,1.046
120,3.1,0.3,8.85,5.68,20,1.558,1.047
120,3.1,0.6,10.34,6.60,20,1.568,1.054
120,2.5,0.9,11.17,0.95,20,1.565,1.059
120,3.1,0.9,11.21,7.16,20,1.564,1.059
130,2.5,0,4.71,0.63,20,1.445,1.033
130,3.1,0,5.21,3.56,20,1.463,1.035
130,4.1,0,5.91,0.71,20,1.486,1.037
130,5.1,0,6.49,0.74,20,1.502,1.039
130,3.1,0.1,7.24,4.76,20,1.520,1.041
130,4.1,0.1,7.63,0.80,20,1.528,1.043
130,3.1,0.2,8.46,5.49,20,1.542,1.046
130,4.1,0.2,8.72,0.85,20,1.546,1.047
130,2.5,0.3,9.18,0.87,20,1.551,1.050
130,3.1,0.3,9.30,5.99,20,1.552,1.050
130,3.1,0.6,10.79,6.93,20,1.557,1.058
130,2.5,0.9,11.62,0.94,20,1.551,1.062
130,3.1,0.9,11.66,7.52,20,1.550,1.063
140,2.5,0,5.11,0.64,20,1.453,1.036
140,3.1,0,5.62,3.83,20,1.469,1.037
140,4.1,0,6.34,0.71,20,1.489,1.040
140,5.1,0,6.92,0.74,20,1.503,1.042
140,3.1,0.1,7.67,5.05,20,1.519,1.044
140,4.1,0.1,8.07,0.80,20,1.526,1.046
140,3.1,0.2,8.89,5.78,20,1.538,1.049
140,4.1,0.2,9.14,0.85,20,1.540,1.050
140,2.5,0.3,9.59,0.87,20,1.544,1.052
140,3.1,0.3,9.71,6.29,20,1.545,1.053
140,3.1,0.6,11.20,7.25,20,1.545,1.061
140,2.5,0.9,12.04,0.94,20,1.537,1.065
140,3.1,0.9,12.09,7.87,20,1.536,1.066
150,2.5,0,5.52,0.64,20,1.458,1.038
150,3.1,0,6.04,4.10,20,1.472,1.040
150,4.1,0,6.75,0.72,20,1.490,1.042
150,5.1,0,7.34,0.75,20,1.503,1.044
150,3.1,0.1,8.09,5.33,20,1.517,1.047
150,4.1,0.1,8.48,0.81,20,1.523,1.048
150,3.1,0.2,9.29,6.06,20,1.532,1.052
150,4.1,0.2,9.54,0.86,20,1.534,1.053
150,2.5,0.3,9.98,0.87,20,1.537,1.055
150,3.1,0.3,10.10,6.57,20,1.537,1.056
150,3.1,0.6,11.58,7.55,20,1.534,1.063
150,2.5,0.9,12.44,0.94,20,1.523,1.068
150,3.1,0.9,12.48,8.20,20,1.523,1.068
50,2.5,0,1.78,0.75,25,1.263,1.016
50,3.1,0,1.99,0.78,25,1.284,1.016
50,4.1,0,2.30,0.81,25,1.313,1.015
50,5.1,0,2.57,0.83,25,1.337,1.015
50,3.1,0.1,2.89,0.85,25,1.364,1.015
50,4.1,0.1,3.09,0.87,25,1.380,1.015
50,3.1,0.2,3.49,0.89,25,1.411,1.015
50,4.1,0.2,3.62,0.90,25,1.421,1.016
50,2.5,0.3,3.85,0.91,25,1.438,1.016
50,3.1,0.3,3.91,0.92,25,1.443,1.016
50,3.1,0.6,4.70,0.96,25,1.496,1.017
50,2.5,0.9,5.13,0.97,25,1.523,1.019
50,3.1,0.9,5.15,0.97,25,1.524,1.019
60,2.5,0,2.11,0.72,25,1.307,1.017
60,3.1,0,2.37,0.74,25,1.331,1.017
60,4.1,0,2.76,0.77,25,1.363,1.017
60,5.1,0,3.09,0.80,25,1.389,1.017
60,3.1,0.1,3.51,0.82,25,1.421,1.017
60,4.1,0.1,3.76,0.84,25,1.438,1.018
60,3.1,0.2,4.28,0.87,25,1.473,1.019
60,4.1,0.2,4.45,0.88,25,1.484,1.019
60,2.5,0.3,4.76,0.89,25,1.502,1.020
60,3.1,0.3,4.84,0.90,25,1.507,1.020
60,3.1,0.6,5.90,0.94,25,1.564,1.023
60,2.5,0.9,6.49,0.96,25,1.591,1.025
60,3.1,0.9,6.51,0.96,25,1.592,1.025
70,2.5,0,2.43,0.69,25,1.343,1.018
70,3.1,0,2.73,0.72,25,1.367,1.019
70,4.1,0,3.18,0.75,25,1.401,1.019
70,5.1,0,3.57,0.77,25,1.428,1.020
70,3.1,0.1,4.08,0.80,25,1.461,1.021
70,4.1,0.1,4.36,0.82,25,1.478,1.021
70,3.1,0.2,4.99,0.85,25,1.513,1.023
70,4.1,0.2,5.20,0.86,25,1.524,1.023
70,2.5,0.3,5.56,0.88,25,1.542,1.025
70,3.1,0.3,5.66,0.88,25,1.547,1.025
70,3.1,0.6,6.94,0.93,25,1.600,1.030
70,2.5,0.9,7.65,0.95,25,1.623,1.033
70,3.1,0.9,7.68,0.96,25,1.624,1.033
80,2.5,0,2.77,0.67,25,1.374,1.020
80,3.1,0,3.12,0.69,25,1.399,1.021
80,4.1,0,3.63,0.73,25,1.433,1.022
80,5.1,0,4.08,0.75,25,1.459,1.023
80,3.1,0.1,4.66,0.78,25,1.492,1.024
80,4.1,0.1,4.99,0.80,25,1.508,1.025
80,3.1,0.2,5.71,0.84,25,1.541,1.027
80,4.1,0.2,5.94,0.85,25,1.551,1.028
80,2.5,0.3,6.36,0.87,25,1.568,1.030
80,3.1,0.3,6.47,0.87,25,1.572,1.030
80,3.1,0.6,7.88,0.93,25,1.617,1.036
80,2.5,0.9,8.66,0.95,25,1.634,1.040
80,3.1,0.9,8.69,0.95,25,1.635,1.040
90,2.5,0,3.14,0.65,25,1.400,1.023
90,3.1,0,3.53,0.68,25,1.425,1.024
90,4.1,0,4.10,0.71,25,1.458,1.025
90,5.1,0,4.59,0.74,25,1.483,1.026
90,3.1,0.1,5.24,0.78,25,1.514,1.028
90,4.1,0.1,5.60,0.80,25,1.529,1.029
90,3.1,0.2,6.38,0.83,25,1.559,1.032
90,4.1,0.2,6.62,0.85,25,1.568,1.033
90,2.5,0.3,7.07,0.87,25,1.582,1.034
90,3.1,0.3,7.18,0.87,25,1.586,1.035
90,3.1,0.6,8.66,0.93,25,1.621,1.041
90,2.5,0.9,9.45,0.95,25,1.633,1.045
90,3.1,0.9,9.48,0.95,25,1.633,1.046
100,2.5,0,3.52,0.64,25,1.422,1.025
100,3.1,0,3.95,0.67,25,1.446,1.026
100,4.1,0,4.57,0.70,25,1.476,1.028
100,5.1,0,5.09,0.74,25,1.500,1.029
100,3.1,0.1,5.79,0.77,25,1.528,1.032
100,4.1,0.1,6.17,0.79,25,1.542,1.033
100,3.1,0.2,6.97,0.83,25,1.568,1.036
100,4.1,0.2,7.23,0.85,25,1.576,1.037
100,2.5,0.3,7.69,0.87,25,1.588,1.039
100,3.1,0.3,7.81,0.87,25,1.591,1.039
100,3.1,0.6,9.30,0.93,25,1.618,1.046
100,2.5,0.9,10.10,0.95,25,1.625,1.051
100,3.1,0.9,10.14,0.95,25,1.625,1.051
110,2.5,0,3.91,0.63,25,1.439,1.028
110,3.1,0,4.37,0.66,25,1.462,1.029
110,4.1,0,5.02,0.70,25,1.490,1.031
110,5.1,0,5.57,0.73,25,1.512,1.033
110,3.1,0.1,6.30,0.77,25,1.537,1.035
110,4.1,0.1,6.69,0.79,25,1.550,1.036
110,3.1,0.2,7.51,0.83,25,1.572,1.040
110,4.1,0.2,7.77,0.85,25,1.579,1.041
110,2.5,0.3,8.23,0.87,25,1.589,1.043
110,3.1,0.3,8.35,0.87,25,1.591,1.043
110,3.1,0.6,9.85,0.93,25,1.611,1.050
110,2.5,0.9,10.67,0.95,25,1.613,1.055
110,3.1,0.9,10.70,0.95,25,1.613,1.055
120,2.5,0,4.31,0.63,25,1.453,1.030
120,3.1,0,4.79,3.29,25,1.474,1.032
120,4.1,0,5.47,0.70,25,1.500,1.034
120,5.1,0,6.04,0.74,25,1.520,1.036
120,3.1,0.1,6.78,4.47,25,1.543,1.038
120,4.1,0.1,7.18,0.80,25,1.553,1.040
120,3.1,0.2,8.01,5.18,25,1.573,1.043
120,4.1,0.2,8.27,0.85,25,1.578,1.044
120,2.5,0.3,8.73,0.87,25,1.586,1.046
120,3.1,0.3,8.85,5.68,25,1.588,1.047
120,3.1,0.6,10.34,6.60,25,1.602,1.054
120,2.5,0.9,11.17,0.95,25,1.600,1.058
120,3.1,0.9,11.21,7.16,25,1.600,1.059
130,2.5,0,4.71,0.63,25,1.464,1.033
130,3.1,0,5.21,3.56,25,1.483,1.034
130,4.1,0,5.91,0.71,25,1.507,1.037
130,5.1,0,6.49,0.74,25,1.525,1.038
130,3.1,0.1,7.24,4.76,25,1.545,1.041
130,4.1,0.1,7.63,0.80,25,1.554,1.043
130,3.1,0.2,8.46,5.49,25,1.571,1.046
130,4.1,0.2,8.72,0.85,25,1.575,1.047
130,2.5,0.3,9.18,0.87,25,1.581,1.049
130,3.1,0.3,9.30,5.99,25,1.583,1.050
130,3.1,0.6,10.79,6.93,25,1.591,1.057
130,2.5,0.9,11.62,0.94,25,1.586,1.062
130,3.1,0.9,11.66,7.52,25,1.586,1.062
140,2.5,0,5.11,0.64,25,1.472,1.035
140,3.1,0,5.62,3.83,25,1.490,1.037
140,4.1,0,6.34,0.71,25,1.512,1.039
140,5.1,0,6.92,0.74,25,1.527,1.041
140,3.1,0.1,7.67,5.05,25,1.545,1.044
140,4.1,0.1,8.07,0.80,25,1.553,1.045
140,3.1,0.2,8.89,5.78,25,1.567,1.049
140,4.1,0.2,9.14,0.85,25,1.570,1.050
140,2.5,0.3,9.59,0.87,25,1.575,1.052
140,3.1,0.3,9.71,6.29,25,1.576,1.052
140,3.1,0.6,11.20,7.25,25,1.579,1.060
140,2.5,0.9,12.04,0.94,25,1.572,1.065
140,3.1,0.9,12.09,7.87,25,1.571,1.065
150,2.5,0,5.52,0.64,25,1.478,1.038
150,3.1,0,6.04,4.10,25,1.494,1.039
150,4.1,0,6.75,0.72,25,1.514,1.042
150,5.1,0,7.34,0.75,25,1.528,1.044
150,3.1,0.1,8.09,5.33,25,1.543,1.047
150,4.1,0.1,8.48,0.81,25,1.550,1.048
150,3.1,0.2,9.29,6.06,25,1.561,1.051
150,4.1,0.2,9.54,0.86,25,1.564,1.053
150,2.5,0.3,9.98,0.87,25,1.568,1.055
150,3.1,0.3,10.10,6.57,25,1.568,1.055
150,3.1,0.6,11.58,7.55,25,1.567,1.063
150,2.5,0.9,12.44,0.94,25,1.558,1.067
150,3.1,0.9,12.48,8.20,25,1.557,1.068
50,2.5,0,1.78,0.75,35,1.265,1.016
50,3.1,0,1.99,0.78,35,1.286,1.016
50,4.1,0,2.30,0.81,35,1.315,1.015
50,5.1,0,2.57,0.83,35,1.339,1.015
50,3.1,0.1,2.89,0.85,35,1.367,1.015
50,4.1,0.1,3.09,0.87,35,1.383,1.015
50,3.1,0.2,3.49,0.89,35,1.415,1.015
50,4.1,0.2,3.62,0.90,35,1.426,1.016
50,2.5,0.3,3.85,0.91,35,1.443,1.016
50,3.1,0.3,3.91,0.92,35,1.448,1.016
50,3.1,0.6,4.70,0.96,35,1.503,1.017
50,2.5,0.9,5.13,0.97,35,1.531,1.019
50,3.1,0.9,5.15,0.97,35,1.533,1.019
60,2.5,0,2.11,0.72,35,1.310,1.017
60,3.1,0,2.37,0.74,35,1.334,1.017
60,4.1,0,2.76,0.77,35,1.367,1.017
60,5.1,0,3.09,0.80,35,1.394,1.017
60,3.1,0.1,3.51,0.82,35,1.426,1.017
60,4.1,0.1,3.76,0.84,35,1.444,1.018
60,3.1,0.2,4.28,0.87,35,1.480,1.019
60,4.1,0.2,4.45,0.88,35,1.492,1.019
60,2.5,0.3,4.76,0.89,35,1.511,1.020
60,3.1,0.3,4.84,0.90,35,1.516,1.020
60,3.1,0.6,5.90,0.94,35,1.577,1.023
60,2.5,0.9,6.49,0.96,35,1.606,1.025
60,3.1,0.9,6.51,0.96,35,1.607,1.025
70,2.5,0,2.43,0.69,35,1.347,1.018
70,3.1,0,2.73,0.72,35,1.373,1.019
70,4.1,0,3.18,0.75,35,1.407,1.019
70,5.1,0,3.57,0.77,35,1.435,1.019
70,3.1,0.1,4.08,0.80,35,1.469,1.020
70,4.1,0.1,4.36,0.82,35,1.487,1.021
70,3.1,0.2,4.99,0.85,35,1.524,1.023
70,4.1,0.2,5.20,0.86,35,1.536,1.023
70,2.5,0.3,5.56,0.88,35,1.555,1.024
70,3.1,0.3,5.66,0.88,35,1.560,1.025
70,3.1,0.6,6.94,0.93,35,1.617,1.030
70,2.5,0.9,7.65,0.95,35,1.643,1.033
70,3.1,0.9,7.68,0.96,35,1.644,1.033
80,2.5,0,2.77,0.67,35,1.380,1.020
80,3.1,0,3.12,0.69,35,1.406,1.021
80,4.1,0,3.63,0.73,35,1.441,1.022
80,5.1,0,4.08,0.75,35,1.469,1.023
80,3.1,0.1,4.66,0.78,35,1.503,1.024
80,4.1,0.1,4.99,0.80,35,1.521,1.025
80,3.1,0.2,5.71,0.84,35,1.556,1.027
80,4.1,0.2,5.94,0.85,35,1.567,1.028
80,2.5,0.3,6.36,0.87,35,1.585,1.030
80,3.1,0.3,6.47,0.87,35,1.589,1.030
80,3.1,0.6,7.88,0.93,35,1.639,1.036
80,2.5,0.9,8.66,0.95,35,1.659,1.039
80,3.1,0.9,8.69,0.95,35,1.660,1.040
90,2.5,0,3.14,0.65,35,1.409,1.023
90,3.1,0,3.53,0.68,35,1.435,1.023
90,4.1,0,4.10,0.71,35,1.469,1.025
90,5.1,0,4.59,0.74,35,1.496,1.026
90,3.1,0.1,5.24,0.78,35,1.528,1.028
90,4.1,0.1,5.60,0.80,35,1.544,1.029
90,3.1,0.2,6.38,0.83,35,1.577,1.032
90,4.1,0.2,6.62,0.85,35,1.586,1.033
90,2.5,0.3,7.07,0.87,35,1.602,1.034
90,3.1,0.3,7.18,0.87,35,1.606,1.035
90,3.1,0.6,8.66,0.93,35,1.647,1.041
90,2.5,0.9,9.45,0.95,35,1.661,1.045
90,3.1,0.9,9.48,0.95,35,1.662,1.045
100,2.5,0,3.52,0.64,35,1.433,1.025
100,3.1,0,3.95,0.67,35,1.457,1.026
100,4.1,0,4.57,0.70,35,1.490,1.028
100,5.1,0,5.09,0.74,35,1.515,1.029
100,3.1,0.1,5.79,0.77,35,1.545,1.032
100,4.1,0.1,6.17,0.79,35,1.560,1.033
100,3.1,0.2,6.97,0.83,35,1.589,1.036
100,4.1,0.2,7.23,0.85,35,1.597,1.037
100,2.5,0.3,7.69,0.87,35,1.610,1.039
100,3.1,0.3,7.81,0.87,35,1.614,1.039
100,3.1,0.6,9.30,0.93,35,1.646,1.046
100,2.5,0.9,10.10,0.95,35,1.655,1.050
100,3.1,0.9,10.14,0.95,35,1.655,1.050
110,2.5,0,3.91,0.63,35,1.452,1.028
110,3.1,0,4.37,0.66,35,1.475,1.029
110,4.1,0,5.02,0.70,35,1.506,1.031
110,5.1,0,5.57,0.73,35,1.529,1.032
110,3.1,0.1,6.30,0.77,35,1.556,1.035
110,4.1,0.1,6.69,0.79,35,1.569,1.036
110,3.1,0.2,7.51,0.83,35,1.595,1.039
110,4.1,0.2,7.77,0.85,35,1.602,1.040
110,2.5,0.3,8.23,0.87,35,1.613,1.042
110,3.1,0.3,8.35,0.87,35,1.616,1.043
110,3.1,0.6,9.85,0.93,35,1.640,1.050
110,2.5,0.9,10.67,0.95,35,1.645,1.054
110,3.1,0.9,10.70,0.95,35,1.645,1.055
120,2.5,0,4.31,0.63,35,1.467,1.030
120,3.1,0,4.79,3.29,35,1.489,1.032
120,4.1,0,5.47,0.70,35,1.517,1.034
120,5.1,0,6.04,0.74,35,1.538,1.035
120,3.1,0.1,6.78,4.47,35,1.563,1.038
120,4.1,0.1,7.18,0.80,35,1.575,1.039
120,3.1,0.2,8.01,5.18,35,1.597,1.043
120,4.1,0.2,8.27,0.85,35,1.602,1.044
120,2.5,0.3,8.73,0.87,35,1.612,1.046
120,3.1,0.3,8.85,5.68,35,1.614,1.046
120,3.1,0.6,10.34,6.60,35,1.632,1.053
120,2.5,0.9,11.17,0.95,35,1.633,1.058
120,3.1,0.9,11.21,7.16,35,1.633,1.058
130,2.5,0,4.71,0.63,35,1.479,1.033
130,3.1,0,5.21,3.56,35,1.500,1.034
130,4.1,0,5.91,0.71,35,1.526,1.036
130,5.1,0,6.49,0.74,35,1.545,1.038
130,3.1,0.1,7.24,4.76,35,1.567,1.041
130,4.1,0.1,7.63,0.80,35,1.577,1.042
130,3.1,0.2,8.46,5.49,35,1.596,1.046
130,4.1,0.2,8.72,0.85,35,1.601,1.047
130,2.5,0.3,9.18,0.87,35,1.608,1.049
130,3.1,0.3,9.30,5.99,35,1.610,1.049
130,3.1,0.6,10.79,6.93,35,1.622,1.057
130,2.5,0.9,11.62,0.94,35,1.620,1.061
130,3.1,0.9,11.66,7.52,35,1.619,1.061
140,2.5,0,5.11,0.64,35,1.489,1.035
140,3.1,0,5.62,3.83,35,1.508,1.037
140,4.1,0,6.34,0.71,35,1.531,1.039
140,5.1,0,6.92,0.74,35,1.549,1.041
140,3.1,0.1,7.67,5.05,35,1.568,1.044
140,4.1,0.1,8.07,0.80,35,1.577,1.045
140,3.1,0.2,8.89,5.78,35,1.593,1.048
140,4.1,0.2,9.14,0.85,35,1.597,1.049
140,2.5,0.3,9.59,0.87,35,1.603,1.051
140,3.1,0.3,9.71,6.29,35,1.604,1.052
140,3.1,0.6,11.20,7.25,35,1.611,1.059
140,2.5,0.9,12.04,0.94,35,1.606,1.064
140,3.1,0.9,12.09,7.87,35,1.606,1.064
150,2.5,0,5.52,0.64,35,1.496,1.038
150,3.1,0,6.04,4.10,35,1.514,1.039
150,4.1,0,6.75,0.72,35,1.535,1.041
150,5.1,0,7.34,0.75,35,1.550,1.043
150,3.1,0.1,8.09,5.33,35,1.568,1.046
150,4.1,0.1,8.48,0.81,35,1.575,1.048
150,3.1,0.2,9.29,6.06,35,1.589,1.051
150,4.1,0.2,9.54,0.86,35,1.592,1.052
150,2.5,0.3,9.98,0.87,35,1.596,1.054
150,3.1,0.3,10.10,6.57,35,1.597,1.055
150,3.1,0.6,11.58,7.55,35,1.600,1.062
150,2.5,0.9,12.44,0.94,35,1.592,1.067
150,3.1,0.9,12.48,8.20,35,1.592,1.067