kVp_kV,AddedFiltration_mmCu,AddedFiltration_mmAl,DeviceModel,AcquisitionPlane,k_patient_support,Comment
50,0,0,AXIOM-Artis,Single Plane,0.5974,measured in lab 106 - 2018-04
51,0,0,AXIOM-Artis,Single Plane,0.5997,measured in lab 106 - 2018-04
52,0,0,AXIOM-Artis,Single Plane,0.602,measured in lab 106 - 2018-04
53,0,0,AXIOM-Artis,Single Plane,0.6043,measured in lab 106 - 2018-04
54,0,0,AXIOM-Artis,Single Plane,0.6065,measured in lab 106 - 2018-04
55,0,0,AXIOM-Artis,Single Plane,0.6087,measured in lab 106 - 2018-04
56,0,0,AXIOM-Artis,Single Plane,0.6108,measured in lab 106 - 2018-04
57,0,0,AXIOM-Artis,Single Plane,0.613,measured in lab 106 - 2018-04
58,0,0,AXIOM-Artis,Single Plane,0.6151,measured in lab 106 - 2018-04
59,0,0,AXIOM-Artis,Single Plane,0.6172,measured in lab 106 - 2018-04
60,0,0,AXIOM-Artis,Single Plane,0.6192,measured in lab 106 - 2018-04
61,0,0,AXIOM-Artis,Single Plane,0.6212,measured in lab 106 - 2018-04
62,0,0,AXIOM-Artis,Single Plane,0.6232,measured in lab 106 - 2018-04
63,0,0,AXIOM-Artis,Single Plane,0.6252,measured in lab 106 - 2018-04
64,0,0,AXIOM-Artis,Single Plane,0.6272,measured in lab 106 - 2018-04
65,0,0,AXIOM-Artis,Single Plane,0.6291,measured in lab 106 - 2018-04
66,0,0,AXIOM-Artis,Single Plane,0.631,measured in lab 106 - 2018-04
67,0,0,AXIOM-Artis,Single Plane,0.6329,measured in lab 106 - 2018-04
68,0,0,AXIOM-Artis,Single Plane,0.6347,measured in lab 106 - 2018-04
69,0,0,AXIOM-Artis,Single Plane,0.6365,measured in lab 106 - 2018-04
70,0,0,AXIOM-Artis,Single Plane,0.6383,measured in lab 106 - 2018-04
71,0,0,AXIOM-Artis,Single Plane,0.6401,measured in lab 106 - 2018-04
72,0,0,AXIOM-Artis,Single Plane,0.6418,measured in lab 106 - 2018-04
73,0,0,AXIOM-Artis,Single Plane,0.6435,measured in lab 106 - 2018-04
74,0,0,AXIOM-Artis,Single Plane,0.6452,measured in lab 106 - 2018-04
75,0,0,AXIOM-Artis,Single Plane,0.6468,measured in lab 106 - 2018-04
76,0,0,AXIOM-Artis,Single Plane,0.6485,measured in lab 106 - 2018-04
77,0,0,AXIOM-Artis,Single Plane,0.6501,measured in lab 106 - 2018-04
78,0,0,AXIOM-Artis,Single Plane,0.6517,measured in lab 106 - 2018-04
79,0,0,AXIOM-Artis,Single Plane,0.6532,measured in lab 106 - 2018-04
80,0,0,AXIOM-Artis,Single Plane,0.6547,measured in lab 106 - 2018-04
81,0,0,AXIOM-Artis,Single Plane,0.6562,measured in lab 106 - 2018-04
82,0,0,AXIOM-Artis,Single Plane,0.6577,measured in lab 106 - 2018-04
83,0,0,AXIOM-Artis,Single Plane,0.6591,measured in lab 106 - 2018-04
84,0,0,AXIOM-Artis,Single Plane,0.6605,measured in lab 106 - 2018-04
85,0,0,AXIOM-Artis,Single Plane,0.6619,measured in lab 106 - 2018-04
86,0,0,AXIOM-Artis,Single Plane,0.6633,measured in lab 106 - 2018-04
87,0,0,AXIOM-Artis,Single Plane,0.6646,measured in lab 106 - 2018-04
88,0,0,AXIOM-Artis,Single Plane,0.6659,measured in lab 106 - 2018-04
89,0,0,AXIOM-Artis,Single Plane,0.6672,measured in lab 106 - 2018-04
90,0,0,AXIOM-Artis,Single Plane,0.6685,measured in lab 106 - 2018-04
91,0,0,AXIOM-Artis,Single Plane,0.6697,measured in lab 106 - 2018-04
92,0,0,AXIOM-Artis,Single Plane,0.6709,measured in lab 106 - 2018-04
93,0,0,AXIOM-Artis,Single Plane,0.6721,measured in lab 106 - 2018-04
94,0,0,AXIOM-Artis,Single Plane,0.6732,measured in lab 106 - 2018-04
95,0,0,AXIOM-Artis,Single Plane,0.6743,measured in lab 106 - 2018-04
96,0,0,AXIOM-Artis,Single Plane,0.6754,measured in lab 106 - 2018-04
97,0,0,AXIOM-Artis,Single Plane,0.6765,measured in lab 106 - 2018-04
98,0,0,AXIOM-Artis,Single Plane,0.6776,measured in lab 106 - 2018-04
99,0,0,AXIOM-Artis,Single Plane,0.6786,measured in lab 106 - 2018-04
100,0,0,AXIOM-Artis,Single Plane,0.6796,measured in lab 106 - 2018-04
101,0,0,AXIOM-Artis,Single Plane,0.6805,measured in lab 106 - 2018-04
102,0,0,AXIOM-Artis,Single Plane,0.6815,measured in lab 106 - 2018-04
103,0,0,AXIOM-Artis,Single Plane,0.6824,measured in lab 106 - 2018-04
104,0,0,AXIOM-Artis,Single Plane,0.6832,measured in lab 106 - 2018-04
105,0,0,AXIOM-Artis,Single Plane,0.6841,measured in lab 106 - 2018-04
106,0,0,AXIOM-Artis,Single Plane,0.6849,measured in lab 106 - 2018-04
107,0,0,AXIOM-Artis,Single Plane,0.6857,measured in lab 106 - 2018-04
108,0,0,AXIOM-Artis,Single Plane,0.6865,measured in lab 106 - 2018-04
109,0,0,AXIOM-Artis,Single Plane,0.6872,measured in lab 106 - 2018-04
110,0,0,AXIOM-Artis,Single Plane,0.688,measured in lab 106 - 2018-04
111,0,0,AXIOM-Artis,Single Plane,0.6887,measured in lab 106 - 2018-04
112,0,0,AXIOM-Artis,Single Plane,0.6893,measured in lab 106 - 2018-04
113,0,0,AXIOM-Artis,Single Plane,0.69,measured in lab 106 - 2018-04
114,0,0,AXIOM-Artis,Single Plane,0.6906,measured in lab 106 - 2018-04
115,0,0,AXIOM-Artis,Single Plane,0.6912,measured in lab 106 - 2018-04
116,0,0,AXIOM-Artis,Single Plane,0.6917,measured in lab 106 - 2018-04
117,0,0,AXIOM-Artis,Single Plane,0.6923,measured in lab 106 - 2018-04
118,0,0,AXIOM-Artis,Single Plane,0.6928,measured in lab 106 - 2018-04
119,0,0,AXIOM-Artis,Single Plane,0.6933,measured in lab 106 - 2018-04
120,0,0,AXIOM-Artis,Single Plane,0.6937,measured in lab 106 - 2018-04
121,0,0,AXIOM-Artis,Single Plane,0.6941,measured in lab 106 - 2018-04
122,0,0,AXIOM-Artis,Single Plane,0.6945,measured in lab 106 - 2018-04
123,0,0,AXIOM-Artis,Single Plane,0.6949,measured in lab 106 - 2018-04
124,0,0,AXIOM-Artis,Single Plane,0.6953,measured in lab 106 - 2018-04
125,0,0,AXIOM-Artis,Single Plane,0.6956,measured in lab 106 - 2018-04
50,0.1,0,AXIOM-Artis,Single Plane,0.6514,measured in lab 106 - 2018-04
51,0.1,0,AXIOM-Artis,Single Plane,0.6534,measured in lab 106 - 2018-04
52,0.1,0,AXIOM-Artis,Single Plane,0.6554,measured in lab 106 - 2018-04
53,0.1,0,AXIOM-Artis,Single Plane,0.6573,measured in lab 106 - 2018-04
54,0.1,0,AXIOM-Artis,Single Plane,0.6592,measured in lab 106 - 2018-04
55,0.1,0,AXIOM-Artis,Single Plane,0.6611,measured in lab 106 - 2018-04
56,0.1,0,AXIOM-Artis,Single Plane,0.663,measured in lab 106 - 2018-04
57,0.1,0,AXIOM-Artis,Single Plane,0.6648,measured in lab 106 - 2018-04
58,0.1,0,AXIOM-Artis,Single Plane,0.6667,measured in lab 106 - 2018-04
59,0.1,0,AXIOM-Artis,Single Plane,0.6684,measured in lab 106 - 2018-04
60,0.1,0,AXIOM-Artis,Single Plane,0.6702,measured in lab 106 - 2018-04
61,0.1,0,AXIOM-Artis,Single Plane,0.672,measured in lab 106 - 2018-04
62,0.1,0,AXIOM-Artis,Single Plane,0.6737,measured in lab 106 - 2018-04
63,0.1,0,AXIOM-Artis,Single Plane,0.6754,measured in lab 106 - 2018-04
64,0.1,0,AXIOM-Artis,Single Plane,0.6771,measured in lab 106 - 2018-04
65,0.1,0,AXIOM-Artis,Single Plane,0.6787,measured in lab 106 - 2018-04
66,0.1,0,AXIOM-Artis,Single Plane,0.6803,measured in lab 106 - 2018-04
67,0.1,0,AXIOM-Artis,Single Plane,0.6819,measured in lab 106 - 2018-04
68,0.1,0,AXIOM-Artis,Single Plane,0.6835,measured in lab 106 - 2018-04
69,0.1,0,AXIOM-Artis,Single Plane,0.685,measured in lab 106 - 2018-04
70,0.1,0,AXIOM-Artis,Single Plane,0.6866,measured in lab 106 - 2018-04
71,0.1,0,AXIOM-Artis,Single Plane,0.6881,measured in lab 106 - 2018-04
72,0.1,0,AXIOM-Artis,Single Plane,0.6895,measured in lab 106 - 2018-04
73,0.1,0,AXIOM-Artis,Single Plane,0.691,measured in lab 106 - 2018-04
74,0.1,0,AXIOM-Artis,Single Plane,0.6924,measured in lab 106 - 2018-04
75,0.1,0,AXIOM-Artis,Single Plane,0.6938,measured in lab 106 - 2018-04
76,0.1,0,AXIOM-Artis,Single Plane,0.6952,measured in lab 106 - 2018-04
77,0.1,0,AXIOM-Artis,Single Plane,0.6965,measured in lab 106 - 2018-04
78,0.1,0,AXIOM-Artis,Single Plane,0.6979,measured in lab 106 - 2018-04
79,0.1,0,AXIOM-Artis,Single Plane,0.6992,measured in lab 106 - 2018-04
80,0.1,0,AXIOM-Artis,Single Plane,0.7004,measured in lab 106 - 2018-04
81,0.1,0,AXIOM-Artis,Single Plane,0.7017,measured in lab 106 - 2018-04
82,0.1,0,AXIOM-Artis,Single Plane,0.7029,measured in lab 106 - 2018-04
83,0.1,0,AXIOM-Artis,Single Plane,0.7041,measured in lab 106 - 2018-04
84,0.1,0,AXIOM-Artis,Single Plane,0.7053,measured in lab 106 - 2018-04
85,0.1,0,AXIOM-Artis,Single Plane,0.7064,measured in lab 106 - 2018-04
86,0.1,0,AXIOM-Artis,Single Plane,0.7076,measured in lab 106 - 2018-04
87,0.1,0,AXIOM-Artis,Single Plane,0.7087,measured in lab 106 - 2018-04
88,0.1,0,AXIOM-Artis,Single Plane,0.7097,measured in lab 106 - 2018-04
89,0.1,0,AXIOM-Artis,Single Plane,0.7108,measured in lab 106 - 2018-04
90,0.1,0,AXIOM-Artis,Single Plane,0.7118,measured in lab 106 - 2018-04
91,0.1,0,AXIOM-Artis,Single Plane,0.7128,measured in lab 106 - 2018-04
92,0.1,0,AXIOM-Artis,Single Plane,0.7138,measured in lab 106 - 2018-04
93,0.1,0,AXIOM-Artis,Single Plane,0.7148,measured in lab 106 - 2018-04
94,0.1,0,AXIOM-Artis,Single Plane,0.7157,measured in lab 106 - 2018-04
95,0.1,0,AXIOM-Artis,Single Plane,0.7166,measured in lab 106 - 2018-04
96,0.1,0,AXIOM-Artis,Single Plane,0.7175,measured in lab 106 - 2018-04
97,0.1,0,AXIOM-Artis,Single Plane,0.7183,measured in lab 106 - 2018-04
98,0.1,0,AXIOM-Artis,Single Plane,0.7192,measured in lab 106 - 2018-04
99,0.1,0,AXIOM-Artis,Single Plane,0.72,measured in lab 106 - 2018-04
100,0.1,0,AXIOM-Artis,Single Plane,0.7207,measured in lab 106 - 2018-04
101,0.1,0,AXIOM-Artis,Single Plane,0.7215,measured in lab 106 - 2018-04
102,0.1,0,AXIOM-Artis,Single Plane,0.7222,measured in lab 106 - 2018-04
103,0.1,0,AXIOM-Artis,Single Plane,0.7229,measured in lab 106 - 2018-04
104,0.1,0,AXIOM-Artis,Single Plane,0.7236,measured in lab 106 - 2018-04
105,0.1,0,AXIOM-Artis,Single Plane,0.7243,measured in lab 106 - 2018-04
106,0.1,0,AXIOM-Artis,Single Plane,0.7249,measured in lab 106 - 2018-04
107,0.1,0,AXIOM-Artis,Single Plane,0.7255,measured in lab 106 - 2018-04
108,0.1,0,AXIOM-Artis,Single Plane,0.7261,measured in lab 106 - 2018-04
109,0.1,0,AXIOM-Artis,Single Plane,0.7266,measured in lab 106 - 2018-04
110,0.1,0,AXIOM-Artis,Single Plane,0.7272,measured in lab 106 - 2018-04
111,0.1,0,AXIOM-Artis,Single Plane,0.7277,measured in lab 106 - 2018-04
112,0.1,0,AXIOM-Artis,Single Plane,0.7282,measured in lab 106 - 2018-04
113,0.1,0,AXIOM-Artis,Single Plane,0.7286,measured in lab 106 - 2018-04
114,0.1,0,AXIOM-Artis,Single Plane,0.7291,measured in lab 106 - 2018-04
115,0.1,0,AXIOM-Artis,Single Plane,0.7295,measured in lab 106 - 2018-04
116,0.1,0,AXIOM-Artis,Single Plane,0.7299,measured in lab 106 - 2018-04
117,0.1,0,AXIOM-Artis,Single Plane,0.7302,measured in lab 106 - 2018-04
118,0.1,0,AXIOM-Artis,Single Plane,0.7305,measured in lab 106 - 2018-04
119,0.1,0,AXIOM-Artis,Single Plane,0.7309,measured in lab 106 - 2018-04
120,0.1,0,AXIOM-Artis,Single Plane,0.7311,measured in lab 106 - 2018-04
121,0.1,0,AXIOM-Artis,Single Plane,0.7314,measured in lab 106 - 2018-04
122,0.1,0,AXIOM-Artis,Single Plane,0.7316,measured in lab 106 - 2018-04
123,0.1,0,AXIOM-Artis,Single Plane,0.7318,measured in lab 106 - 2018-04
124,0.1,0,AXIOM-Artis,Single Plane,0.732,measured in lab 106 - 2018-04
125,0.1,0,AXIOM-Artis,Single Plane,0.7322,measured in lab 106 - 2018-04
50,0.2,0,AXIOM-Artis,Single Plane,0.6715,measured in lab 106 - 2018-04
51,0.2,0,AXIOM-Artis,Single Plane,0.6735,measured in lab 106 - 2018-04
52,0.2,0,AXIOM-Artis,Single Plane,0.6755,measured in lab 106 - 2018-04
53,0.2,0,AXIOM-Artis,Single Plane,0.6774,measured in lab 106 - 2018-04
54,0.2,0,AXIOM-Artis,Single Plane,0.6794,measured in lab 106 - 2018-04
55,0.2,0,AXIOM-Artis,Single Plane,0.6813,measured in lab 106 - 2018-04
56,0.2,0,AXIOM-Artis,Single Plane,0.6831,measured in lab 106 - 2018-04
57,0.2,0,AXIOM-Artis,Single Plane,0.685,measured in lab 106 - 2018-04
58,0.2,0,AXIOM-Artis,Single Plane,0.6868,measured in lab 106 - 2018-04
59,0.2,0,AXIOM-Artis,Single Plane,0.6886,measured in lab 106 - 2018-04
60,0.2,0,AXIOM-Artis,Single Plane,0.6904,measured in lab 106 - 2018-04
61,0.2,0,AXIOM-Artis,Single Plane,0.6921,measured in lab 106 - 2018-04
62,0.2,0,AXIOM-Artis,Single Plane,0.6938,measured in lab 106 - 2018-04
63,0.2,0,AXIOM-Artis,Single Plane,0.6955,measured in lab 106 - 2018-04
64,0.2,0,AXIOM-Artis,Single Plane,0.6972,measured in lab 106 - 2018-04
65,0.2,0,AXIOM-Artis,Single Plane,0.6988,measured in lab 106 - 2018-04
66,0.2,0,AXIOM-Artis,Single Plane,0.7004,measured in lab 106 - 2018-04
67,0.2,0,AXIOM-Artis,Single Plane,0.702,measured in lab 106 - 2018-04
68,0.2,0,AXIOM-Artis,Single Plane,0.7035,measured in lab 106 - 2018-04
69,0.2,0,AXIOM-Artis,Single Plane,0.705,measured in lab 106 - 2018-04
70,0.2,0,AXIOM-Artis,Single Plane,0.7065,measured in lab 106 - 2018-04
71,0.2,0,AXIOM-Artis,Single Plane,0.708,measured in lab 106 - 2018-04
72,0.2,0,AXIOM-Artis,Single Plane,0.7094,measured in lab 106 - 2018-04
73,0.2,0,AXIOM-Artis,Single Plane,0.7109,measured in lab 106 - 2018-04
74,0.2,0,AXIOM-Artis,Single Plane,0.7122,measured in lab 106 - 2018-04
75,0.2,0,AXIOM-Artis,Single Plane,0.7136,measured in lab 106 - 2018-04
76,0.2,0,AXIOM-Artis,Single Plane,0.7149,measured in lab 106 - 2018-04
77,0.2,0,AXIOM-Artis,Single Plane,0.7162,measured in lab 106 - 2018-04
78,0.2,0,AXIOM-Artis,Single Plane,0.7175,measured in lab 106 - 2018-04
79,0.2,0,AXIOM-Artis,Single Plane,0.7188,measured in lab 106 - 2018-04
80,0.2,0,AXIOM-Artis,Single Plane,0.72,measured in lab 106 - 2018-04
81,0.2,0,AXIOM-Artis,Single Plane,0.7212,measured in lab 106 - 2018-04
82,0.2,0,AXIOM-Artis,Single Plane,0.7224,measured in lab 106 - 2018-04
83,0.2,0,AXIOM-Artis,Single Plane,0.7235,measured in lab 106 - 2018-04
84,0.2,0,AXIOM-Artis,Single Plane,0.7246,measured in lab 106 - 2018-04
85,0.2,0,AXIOM-Artis,Single Plane,0.7257,measured in lab 106 - 2018-04
86,0.2,0,AXIOM-Artis,Single Plane,0.7268,measured in lab 106 - 2018-04
87,0.2,0,AXIOM-Artis,Single Plane,0.7278,measured in lab 106 - 2018-04
88,0.2,0,AXIOM-Artis,Single Plane,0.7288,measured in lab 106 - 2018-04
89,0.2,0,AXIOM-Artis,Single Plane,0.7298,measured in lab 106 - 2018-04
90,0.2,0,AXIOM-Artis,Single Plane,0.7307,measured in lab 106 - 2018-04
91,0.2,0,AXIOM-Artis,Single Plane,0.7317,measured in lab 106 - 2018-04
92,0.2,0,AXIOM-Artis,Single Plane,0.7326,measured in lab 106 - 2018-04
93,0.2,0,AXIOM-Artis,Single Plane,0.7334,measured in lab 106 - 2018-04
94,0.2,0,AXIOM-Artis,Single Plane,0.7343,measured in lab 106 - 2018-04
95,0.2,0,AXIOM-Artis,Single Plane,0.7351,measured in lab 106 - 2018-04
96,0.2,0,AXIOM-Artis,Single Plane,0.7359,measured in lab 106 - 2018-04
97,0.2,0,AXIOM-Artis,Single Plane,0.7367,measured in lab 106 - 2018-04
98,0.2,0,AXIOM-Artis,Single Plane,0.7374,measured in lab 106 - 2018-04
99,0.2,0,AXIOM-Artis,Single Plane,0.7381,measured in lab 106 - 2018-04
100,0.2,0,AXIOM-Artis,Single Plane,0.7388,measured in lab 106 - 2018-04
101,0.2,0,AXIOM-Artis,Single Plane,0.7394,measured in lab 106 - 2018-04
102,0.2,0,AXIOM-Artis,Single Plane,0.7401,measured in lab 106 - 2018-04
103,0.2,0,AXIOM-Artis,Single Plane,0.7407,measured in lab 106 - 2018-04
104,0.2,0,AXIOM-Artis,Single Plane,0.7412,measured in lab 106 - 2018-04
105,0.2,0,AXIOM-Artis,Single Plane,0.7418,measured in lab 106 - 2018-04
106,0.2,0,AXIOM-Artis,Single Plane,0.7423,measured in lab 106 - 2018-04
107,0.2,0,AXIOM-Artis,Single Plane,0.7428,measured in lab 106 - 2018-04
108,0.2,0,AXIOM-Artis,Single Plane,0.7433,measured in lab 106 - 2018-04
109,0.2,0,AXIOM-Artis,Single Plane,0.7437,measured in lab 106 - 2018-04
110,0.2,0,AXIOM-Artis,Single Plane,0.7441,measured in lab 106 - 2018-04
111,0.2,0,AXIOM-Artis,Single Plane,0.7445,measured in lab 106 - 2018-04
112,0.2,0,AXIOM-Artis,Single Plane,0.7449,measured in lab 106 - 2018-04
113,0.2,0,AXIOM-Artis,Single Plane,0.7452,measured in lab 106 - 2018-04
114,0.2,0,AXIOM-Artis,Single Plane,0.7455,measured in lab 106 - 2018-04
115,0.2,0,AXIOM-Artis,Single Plane,0.7458,measured in lab 106 - 2018-04
116,0.2,0,AXIOM-Artis,Single Plane,0.746,measured in lab 106 - 2018-04
117,0.2,0,AXIOM-Artis,Single Plane,0.7462,measured in lab 106 - 2018-04
118,0.2,0,AXIOM-Artis,Single Plane,0.7464,measured in lab 106 - 2018-04
119,0.2,0,AXIOM-Artis,Single Plane,0.7466,measured in lab 106 - 2018-04
120,0.2,0,AXIOM-Artis,Single Plane,0.7467,measured in lab 106 - 2018-04
121,0.2,0,AXIOM-Artis,Single Plane,0.7469,measured in lab 106 - 2018-04
122,0.2,0,AXIOM-Artis,Single Plane,0.7469,measured in lab 106 - 2018-04
123,0.2,0,AXIOM-Artis,Single Plane,0.747,measured in lab 106 - 2018-04
124,0.2,0,AXIOM-Artis,Single Plane,0.747,measured in lab 106 - 2018-04
125,0.2,0,AXIOM-Artis,Single Plane,0.747,measured in lab 106 - 2018-04
50,0.3,0,AXIOM-Artis,Single Plane,0.6861,measured in lab 106 - 2018-04
51,0.3,0,AXIOM-Artis,Single Plane,0.688,measured in lab 106 - 2018-04
52,0.3,0,AXIOM-Artis,Single Plane,0.6899,measured in lab 106 - 2018-04
53,0.3,0,AXIOM-Artis,Single Plane,0.6918,measured in lab 106 - 2018-04
54,0.3,0,AXIOM-Artis,Single Plane,0.6936,measured in lab 106 - 2018-04
55,0.3,0,AXIOM-Artis,Single Plane,0.6954,measured in lab 106 - 2018-04
56,0.3,0,AXIOM-Artis,Single Plane,0.6972,measured in lab 106 - 2018-04
57,0.3,0,AXIOM-Artis,Single Plane,0.6989,measured in lab 106 - 2018-04
58,0.3,0,AXIOM-Artis,Single Plane,0.7006,measured in lab 106 - 2018-04
59,0.3,0,AXIOM-Artis,Single Plane,0.7023,measured in lab 106 - 2018-04
60,0.3,0,AXIOM-Artis,Single Plane,0.704,measured in lab 106 - 2018-04
61,0.3,0,AXIOM-Artis,Single Plane,0.7056,measured in lab 106 - 2018-04
62,0.3,0,AXIOM-Artis,Single Plane,0.7072,measured in lab 106 - 2018-04
63,0.3,0,AXIOM-Artis,Single Plane,0.7088,measured in lab 106 - 2018-04
64,0.3,0,AXIOM-Artis,Single Plane,0.7104,measured in lab 106 - 2018-04
65,0.3,0,AXIOM-Artis,Single Plane,0.7119,measured in lab 106 - 2018-04
66,0.3,0,AXIOM-Artis,Single Plane,0.7135,measured in lab 106 - 2018-04
67,0.3,0,AXIOM-Artis,Single Plane,0.7149,measured in lab 106 - 2018-04
68,0.3,0,AXIOM-Artis,Single Plane,0.7164,measured in lab 106 - 2018-04
69,0.3,0,AXIOM-Artis,Single Plane,0.7178,measured in lab 106 - 2018-04
70,0.3,0,AXIOM-Artis,Single Plane,0.7192,measured in lab 106 - 2018-04
71,0.3,0,AXIOM-Artis,Single Plane,0.7206,measured in lab 106 - 2018-04
72,0.3,0,AXIOM-Artis,Single Plane,0.722,measured in lab 106 - 2018-04
73,0.3,0,AXIOM-Artis,Single Plane,0.7233,measured in lab 106 - 2018-04
74,0.3,0,AXIOM-Artis,Single Plane,0.7246,measured in lab 106 - 2018-04
75,0.3,0,AXIOM-Artis,Single Plane,0.7259,measured in lab 106 - 2018-04
76,0.3,0,AXIOM-Artis,Single Plane,0.7271,measured in lab 106 - 2018-04
77,0.3,0,AXIOM-Artis,Single Plane,0.7284,measured in lab 106 - 2018-04
78,0.3,0,AXIOM-Artis,Single Plane,0.7296,measured in lab 106 - 2018-04
79,0.3,0,AXIOM-Artis,Single Plane,0.7307,measured in lab 106 - 2018-04
80,0.3,0,AXIOM-Artis,Single Plane,0.7319,measured in lab 106 - 2018-04
81,0.3,0,AXIOM-Artis,Single Plane,0.733,measured in lab 106 - 2018-04
82,0.3,0,AXIOM-Artis,Single Plane,0.7341,measured in lab 106 - 2018-04
